name,gender,age_band,current_occupation,occupation_major,interests,purpose,topic_prefs,style,intro
진오,여,만 90세 이상,연구개발/ IT(엔지니어 / 연구원 / 소프트웨어 개발자 / 데이터 분석가),보건·의료직,"운동/스포츠 관람, 요리/베이킹, 게임 (PC/콘솔/모바일), 여행","학업 / 전문지식 조언, 사회, 인생 경험 공유","건강·웰빙, 진로·직업","연두부형: 조용하고 차분하게, 상대방 얘기를 경청하며 공감해 주는 편이에요.","따뜻하지만 냉철하게, 함께 길을 찾습니다."
광진,여,만 60세~69세,전업주부,교육·법률·사회복지·경찰·소방직 및 군인,"게임 (PC/콘솔/모바일), 춤/노래",정서적 지지와 대화,"IT·테크, 정서적 지지, 진로·직업",효율추구형 : 주제를 체계적으로 정리하고 목표 지향적으로 대화하는 편이에요.,학업·진로 설계를 같이 설계해요.
용지,기타,만 60세~69세,운송/기계(트럭기사 / 버스기사 / 지게차 운전 / 기계조작원),영업·판매·운전·운송직,"미술·전시 감상, 독서, 영화/드라마 감상, 춤/노래",진로 / 커리어 조언,"정서적 지지, 학업·전문 지식",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
제완,여,만 90세 이상,영업(영업사원 / 마케팅 지원 / 고객 관리),경영·사무·금융·보험직,"영화/드라마 감상, 독서","학업 / 전문지식 조언, 진로 / 커리어 조언","학업·전문 지식, 예술·문화",냉철한 조언자형: 논리적이고 문제 해결 중심으로 조언을 주고받는 편이에요.,학업·진로 설계를 같이 설계해요.
재완,남,만 90세 이상,보건(의사 / 치과의사 / 약사 / 간호사 / 한의사 / 물리치료사 / 간호조무사 / 재활치료사 / 요양보호사),교육·법률·사회복지·경찰·소방직 및 군인,"여행, 게임 (PC/콘솔/모바일), 미술·전시 감상, 음악 감상","사회, 인생 경험 공유, 학업 / 전문지식 조언","IT·테크, 정서적 지지, 인생 경험·가치관","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",새로운 시도와 변화를 응원합니다.
세영,남,만 60세~69세,서비스 전문(상담사 / 심리치료사 / 사회복지사 / 코디네이터),예술·디자인·방송·스포츠직,"요리/베이킹, 독서","진로 / 커리어 조언, 사회, 인생 경험 공유","IT·테크, 건강·웰빙",효율추구형 : 주제를 체계적으로 정리하고 목표 지향적으로 대화하는 편이에요.,학업·진로 설계를 같이 설계해요.
동희,남,만 70세~79세,구직자 / 최근 퇴사자 / 프리랜서,설치·정비·생산직,"영화/드라마 감상, 미술·전시 감상, 사진/영상 제작, 춤/노래","학업 / 전문지식 조언, 진로 / 커리어 조언","진로·직업, 학업·전문 지식","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.","따뜻하지만 냉철하게, 함께 길을 찾습니다."
민철,기타,만 60세~69세,연구개발/ IT(엔지니어 / 연구원 / 소프트웨어 개발자 / 데이터 분석가),설치·정비·생산직,"사진/영상 제작, 게임 (PC/콘솔/모바일), 여행, 음악 감상","사회, 인생 경험 공유","IT·테크, 정서적 지지, 학업·전문 지식",분위기메이커형: 활발하고 에너지가 넘쳐 대화를 이끌어가는 편이에요.,실무 경험을 바탕으로 현실적인 조언을 드립니다.
영수,남,만 90세 이상,학생 (초·중·고·대학생 / 대학원생),설치·정비·생산직,"요리/베이킹, 독서, 운동/스포츠 관람","사회, 인생 경험 공유","진로·직업, 정서적 지지, 학업·전문 지식",분위기메이커형: 활발하고 에너지가 넘쳐 대화를 이끌어가는 편이에요.,새로운 시도와 변화를 응원합니다.
영자,여,만 70세~79세,보건(의사 / 치과의사 / 약사 / 간호사 / 한의사 / 물리치료사 / 간호조무사 / 재활치료사 / 요양보호사),미용·여행·숙박·음식·경비·청소직,"요리/베이킹, 독서","학업 / 전문지식 조언, 사회, 인생 경험 공유","진로·직업, 학업·전문 지식, 인생 경험·가치관",분위기메이커형: 활발하고 에너지가 넘쳐 대화를 이끌어가는 편이에요.,"따뜻하지만 냉철하게, 함께 길을 찾습니다."
순자,여,만 90세 이상,구직자 / 최근 퇴사자 / 프리랜서,건설·채굴직,"요리/베이킹, 운동/스포츠 관람, 영화/드라마 감상, 사진/영상 제작","학업 / 전문지식 조언, 사회, 인생 경험 공유","정서적 지지, 예술·문화",분위기메이커형: 활발하고 에너지가 넘쳐 대화를 이끌어가는 편이에요.,삶의 전환기에 필요한 경험담을 나눕니다.
춘자,여,만 80세~89세,경영자(CEO / 사업주 / 임원 / 부서장),농림어업직,"게임 (PC/콘솔/모바일), 여행, 운동/스포츠 관람, 미술·전시 감상","학업 / 전문지식 조언, 진로 / 커리어 조언","진로·직업, 정서적 지지","연두부형: 조용하고 차분하게, 상대방 얘기를 경청하며 공감해 주는 편이에요.",실무 경험을 바탕으로 현실적인 조언을 드립니다.
옥순,기타,만 90세 이상,경영자(CEO / 사업주 / 임원 / 부서장),건설·채굴직,"음악 감상, 춤/노래","학업 / 전문지식 조언, 정서적 지지와 대화","정서적 지지, 건강·웰빙, 학업·전문 지식",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,실무 경험을 바탕으로 현실적인 조언을 드립니다.
영식,남,만 90세 이상,연구개발/ IT(엔지니어 / 연구원 / 소프트웨어 개발자 / 데이터 분석가),설치·정비·생산직,"사진/영상 제작, 독서",진로 / 커리어 조언,"정서적 지지, 진로·직업, 건강·웰빙",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,실무 경험을 바탕으로 현실적인 조언을 드립니다.
말순,여,만 80세~89세,기술(기술자 / 공학 기술자 / 실험실 기술자 / 회계사 / 건축기사),경영·사무·금융·보험직,"독서, 게임 (PC/콘솔/모바일), 여행, 음악 감상","사회, 인생 경험 공유, 정서적 지지와 대화","IT·테크, 진로·직업, 건강·웰빙",감성 충만형: 감성적인 대화를 좋아하고 위로와 지지를 주는 편이에요.,경청 중심의 상담을 합니다.
경자,기타,만 80세~89세,청소 / 경비(경비원 / 환경미화원),보건·의료직,"운동/스포츠 관람, 춤/노래, 게임 (PC/콘솔/모바일), 독서","학업 / 전문지식 조언, 정서적 지지와 대화","인생 경험·가치관, 예술·문화","댕댕이형: 자유롭고 편안하게, 즉흥적으로 대화를 이어가는 편이에요.",경청 중심의 상담을 합니다.
영숙,기타,만 60세~69세,보건(의사 / 치과의사 / 약사 / 간호사 / 한의사 / 물리치료사 / 간호조무사 / 재활치료사 / 요양보호사),영업·판매·운전·운송직,"요리/베이킹, 사진/영상 제작, 독서, 미술·전시 감상","정서적 지지와 대화, 사회, 인생 경험 공유","정서적 지지, 진로·직업, 학업·전문 지식","연두부형: 조용하고 차분하게, 상대방 얘기를 경청하며 공감해 주는 편이에요.",경청 중심의 상담을 합니다.
